Instruction,Input,Output,Code Style,Score
Write a Python program using a for loop to sum up the even numbers in a given list.,"number_list = [2, 3, 5, 7, 11, 13, 17]","number_list = [2, 3, 5, 7, 11, 13, 17]
total = 0

for number in number_list:
    if number % 2 == 0:
        total += number

print(total)
",10,5
Generate a Python code to search a number in a sorted array,,"def binary_search(arr, x): 
    l = 0
    r = len(arr)-1
    while l <= r:
        mid = l + (r - l) // 2
  
        if arr[mid] == x: 
            return mid 
        elif arr[mid] < x: 
            l = mid + 1
        else: 
            r = mid - 1
    return -1
",9.09,4.54
Write a Python script to identify the prime numbers in a list of integers.,"list of integers: [2, 4, 7, 11, 13]","def is_prime(num): 
    if num > 1: 
        for i in range(2, num): 
            if (num % i) == 0: 
                return False 
        else: 
            return True
    else: 
        return False

numbers = [2, 4, 7, 11, 13]   
for num in numbers: 
    if is_prime(num): 
        print(num)
",8.18,4.09
Write a Python program to generate a 5x5 matrix filled with zeros.,,"def generate_matrix():
    matrix = []
    for _ in range(5):
        row = [0] * 5
        matrix.append(row)
    return matrix
        
if __name__ == '__main__':
    matrix = generate_matrix()
    print(matrix)
",8.89,4.44
Write a Python script to compute the area of the circle using its radius.,,"import math

def compute_area_of_the_circle(radius):
    return math.pi * (radius**2)",10,5
Write a python program to make all the characters of a string into lowercase.,,"def convert_to_lowercase(string): 
    lowercase_string = """" 
    for char in string: 
        lowercase_string += char.lower() 
    return lowercase_string",10,5
"Compare two strings and print true if they are equal, false otherwise in Python.",,"a = ""test""
b = ""test""

if a == b:
  print(""true"")
else:
  print(""false"")",9,4.5
Develop a Python script that prints out the numbers from 0 to 9 in descending order?,,"for n in reversed(range(0,10)):
    print(n)
",10,5
Write a python function to count the occurence of all elements of list in a tuple.,,"from collections import Counter 
def count_Occurrence(tup, lst): 
    count = 0
    for item in tup: 
        if item in lst: 
            count+= 1 
    return count  
",8.57,4.28
"Write a python program to count the total number of ""1""s present in a binary string",binary_string = '10101100110',"def count_ones(binary_string):
    count = 0
    for bit in binary_string:
        if bit == '1':
            count += 1
    return count

binary_string = '10101100110'
print(count_ones(binary_string))
",8.75,4.37
Design a function in Python to sort the given list of numbers in descending order.,"The given list of numbers is: [2, 4, 1, 6, 9, 8]","def descendingSort(nums):
    # sort list in reverse order
    nums.sort(reverse=True)
    return nums

print(descendingSort([2, 4, 1, 6, 9, 8]))
",10,5
Write a Python program to find the n-th smallest number in the following list,"[2, 3, 5, 7, 11] n = 2","def nth_smallest(input_list, n):
    input_list.sort()
    return input_list[n-1]

input_list = [2, 3, 5, 7, 11]
n = 2
result = nth_smallest(input_list, n)
print(result)
",8.14,4.07
Write a Python program to convert a given binary form to its original string.,"b_string = ""0100100001100101011011000110110001101111""","def binary_to_string(b_string):
 s = """"
 for i in range(0, len(b_string), 8):
    byte = b_string[i: i + 8]
 s += chr(int(byte, 2))
 return s

b_string = ""0100100001100101011011000110110001101111""
print(binary_to_string(b_string))
",9.25,4.62
Write a Python program to count the number of digits in an integer.,number = 9923,"def count_digits(number):
    count = 0
    while number != 0:
        count += 1
        number //= 10
    return count

number = 9923
print(count_digits(number))
",9.09,4.54
Implement an algorithm in Python to remove duplicate elements from a given list.,"list = [1,4,4,4,5,5,5,6,7]","def removeDuplicates(list): 
    uniqueList = []  
    for item in list: 
        if item not in uniqueList: 
            uniqueList.append(item) 
    return uniqueList 

print(removeDuplicates([1,4,4,4,5,5,5,6,7]))
",8.57,4.28
Create a Python program to reverse a list without using the reverse() method.,"[1, 2, 3, 4, 5]","def reverse_list(lst):
    reversed_list = []
    for i in range(len(lst)-1,-1, -1):
      reversed_list.append(lst[i])
    return reversed_list

print(reverse_list([1, 2, 3, 4, 5]))
",8.33,4.16
Write a function to remove leading zeroes from an ip address.,,"import re
def removezero_ip(ip):
 string = re.sub('\.[0]*', '.', ip)
 return string
",10,5
Generate a python program to classify whether a number is divisible by 5 or not.,,"def is_divisible_by_five(number):
    if number % 5 == 0:
        return 'Divisible'
    else:
        return 'Not divisible'
",8.5,4.75
Develop a program to print all unique strings from a given array of strings,"[""Hello"", ""World"", ""Hello"", ""Python""]","def unique_strings(strings):
    unique_strings = []
    for string in strings:
        if string not in unique_strings:
            unique_strings.append(string)
    return unique_strings

strings = [""Hello"", ""World"", ""Hello"", ""Python""]
result = unique_strings(strings)
print(result)
",7.78,3.89
Write a Python program to convert an array of objects into an array of JSON string.,,"import json

def array_obj_to_json(arr):
    json_arr = []
    for obj in arr:
        json_arr.append(json.dumps(obj))
    return json_arr
",10,5
Write a function to find the volume of a cylinder.,,"def volume_cylinder(r,h):

  volume=3.1415*r*r*h

  return volume",9.09,4.54
Generate a program in Python to find the median of a list of numbers.,"[5, 8, 2, 7, 4]","def median(nums):
    nums.sort()
    length = len(nums)
 
    if length % 2 == 0:
        return (nums[length//2] + nums[(length//2)-1])/2.0
    else:
        return nums[length//2] 

list = [5, 8, 2, 7, 4]
med = median(list)
print('The median of the list is ' + str(med))
",8.89,4.44
Create a Python function that checks whether a given list contains any repeated elements.,,"def has_duplicates(arr): 
    s = set() 

    for item in arr: 
        if item in s:
            return True 
        else:
            s.add(item) 

    return False
",8.57,4.28
Create a function in Python that takes two numbers as input and returns a dictionary with all the prime numbers between them.,8 and 20,"def prime_numbers(x, y):
    prime_nums = {}

    for i in range(x, y + 1):
        if i > 1:
            is_prime = True
            for j in range(2, int(i**0.5) + 1):
                if i % j == 0:
                    is_prime = False
                    break
            if is_prime:
                prime_nums[i] = i

    return prime_nums

print(prime_numbers(8, 20))
",10,5
Design a program to validate a user's phone number in Python.,,"import re

def is_valid_phone_number(phone_number):
 pattern = re.compile(""^[0-9]{3}-[0-9]{3}-[0-9]{4}$"")
 match = pattern.match(phone_number)
 return bool(match)
",9.37,4.68
Write a Python program that can compare two lists of integers and identify any elements that appear in both lists.,,"def find_common_elements(list1, list2):
    common_elements = []

    for e1 in list1:
        for e2 in list2:
            if e1 == e2:
               common_elements.append(e1)

    return common_elements

list1 = [1, 2, 3, 4, 5]
list2 = [2, 4, 6, 8]

print(find_common_elements(list1, list2))
",8,4
"Construct a Python function to filter out all the words from a list that contains the letter ""a"".","['dog', 'cat', 'ant', 'tree', 'apple']","def filter_words_with_a(words):
    return [word for word in words if 'a' in word]

words = ['dog', 'cat', 'ant', 'tree', 'apple']
filtered_words = filter_words_with_a(words)
print(filtered_words)
",9.5,4.5
Write a Python program that will replace all the numbers greater than 5 in an array with 0.,"arr = [1, 4, 6, 7, 8, 9]","def replace_numbers(arr):
    for i, num in enumerate(arr):
        if num > 5:
            arr[i] = 0

arr = [1, 4, 6, 7, 8, 9]
replace_numbers(arr)
print(arr)
",8.57,4.28
Write a Python program to print even numbers from 0 to the number provided,N = 30,"def print_even_numbers(N):
    for x in range(0, N+1, 2):
        print(x)

N = 30
print_even_numbers(N)
",9.89,4.94
Develop a Python algorithm to find the maximum element in a given array.,"[1, 4, 6, 7, 3]","def find_max_element(arr):
    maxElement = arr[0]
    for val in arr:
        if val > maxElement:
            maxElement = val
    return maxElement",8.33,4.16
Create a boolean filter in Python which returns true if the input is a two-letter word.,,"def two_letter_filter(word):
    if len(word) == 2:
        return True
    else:
        return False
",9,4.5
Write a Python program to split a string on any whitespace.,"String to be split = ""Python is an interpreted language.""","def splitOnWhitespace(inputString):
    words = inputString.split()
    return words

stringToBeSplit = ""Python is an interpreted language.""
words = splitOnWhitespace(stringToBeSplit)
print(words)
",10,5
Write a Python program to match a given pattern in a given string.,"String: ""ABCDDEFG""
Pattern: ""AB*EFG""","import re

string = ""ABCDDEFG""
pattern = ""AB*EFG""
match = re.search(pattern, string)
 
if match:
    print(""Pattern found!"")
else:
    print(""Pattern not found!"")
",9.89,4.44
Write a Python program to search a list of strings for a given string.,"list = [""dog"", ""cat"", ""bird""]
target = ""bird""","list = [""dog"", ""cat"", ""bird""]
target = ""bird""

for element in list:
    if element == target:
        print(""Target string found: {}"".format(target))
        break
",8.33,4.16
Write a function in Python to find out the longest word in a string,,"def longestWord(str):
    words = str.split()
    max_len = 0
    for word in words:
        if len(word) > max_len:
            max_len = len(word)
    for word in words:
        if len(word) == max_len:
            return word
",7.78,3.89
Create a function in Python that takes a list of strings and for each string appends the first letter to the end of the string.,"['cat', 'bird', 'rabbit']","def append_first_letter_end(list_of_strings):
    new_list_of_strings = []
    for string in list_of_strings:
        new_string = string + string[0]
    new_list_of_strings.append(new_string)
    return new_list_of_strings
",10,5
Create a Python script that takes in a user-specified temperature in Fahrenheit and prints out the corresponding temperature in Celsius.,,"def fahrenheit_to_celsius(temp_f):
    return (temp_f - 32) * 5 / 9

temp_f = float(input('Enter temperature in Fahrenheit:'))
temp_c = fahrenheit_to_celsius(temp_f)

print(f'{temp_f}F = {temp_c}C')
",9,4.5
Write a function to find the third side of a right angled triangle.,,"import math
def otherside_rightangle(w,h):
    s=math.sqrt((w*w)+(h*h))
    return s

result = otherside_rightangle(3, 4)
print(result)
",10,5
Write a Python code to convert a numeric string to number.,,"def convert_string_to_number(str):
    try: 
        return int(str)
    except ValueError:
        try:
            return float(str)
        except ValueError:
            return ""String could not be converted to number.""

str = input(""String: "")
print(""Number:"", convert_string_to_number(str))",8.89,4.44
Create a Python program that will generate a random password from the given set of characters.,,"import random

def generate_random_password(characters=""abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789!@#$%^&*()_+{}:""):
    password = """"
    for _ in range(8):
        password += random.choice(characters)
    return password",10,5
Create a python program to find the longest consecutive 1s in a binary number.,10101010001,"def max_ones(num):
    count = 0 
    result = 0
    for i in range(len(num)):
        if num[i] == '1':
            count += 1 
            result = max(result, count)
        else:
            count = 0 
    return result

num = '10101010001'
print(max_ones(num))",8.18,4.09
Modify the Python code below to reverse the string input.,string = hello world,"string = ""hello world""  
rev_string = """" 
for char in string: 
    rev_string = char + rev_string 
 
print(rev_string)
",10,5
Write a Python program to divide a list of numbers into two equal lists.,"[1,2,3,4,5,6,7,8,9,10]","list_a = [1,2,3,4,5]
list_b = [6,7,8,9,10]",10,5
Construct a function in Python which takes in a string and returns the number of vowels it has.,"string=""hello world""","def countVowels(string):
    vowels = 'aeiouAEIOU'
    count = 0

    for char in string:
        if char in vowels:
            count += 1
    
    return count

string = ""hello world""
vowel_count = countVowels(string)
print(vowel_count)
",8,4
Write a python program to identify if a string s has matching parentheses,,"def matching_paren(s):
    stack = []
    for char in s:
        if char == '(':
            stack.append(char)
        elif char == ')':
            if len(stack) == 0:
                return False 
            stack.pop()
    
    if len(stack) == 0:
        return True
    else:
        return False
",8.33,4.16
Write a function to find the longest subsequence such that the difference between adjacents is one for the given array.,,"def longest_subseq_with_diff_one(arr, n): 
    dp = [1 for i in range(n)] 
    for i in range(n): 
        for j in range(i): 
            if ((arr[i] == arr[j]+1) or (arr[i] == arr[j]-1)): 
                dp[i] = max(dp[i], dp[j]+1) 
    result = 1
    for i in range(n): 
        if (result < dp[i]): 
            result = dp[i] 
    return result
",8.13,4.06
Develop a Python function that can detect loops in a given linked list.,Linked List: head -> 1 -> 2 -> 3 -> 4 -> 5,"class Node:
    def __init__(self, data):
        self.data = data
        self.next = None

def detectLoop(head):
    slow_p = head 
    fast_p = head 
    while slow_p and fast_p and fast_p.next:
        slow_p = slow_p.next
        fast_p = fast_p.next.next
        if slow_p == fast_p:
            return True
    return False

head = Node(1)
head.next = Node(2)
head.next.next = Node(3)
head.next.next.next = Node(4)
head.next.next.next.next = Node(5)

print(detectLoop(head))

head.next.next.next.next.next = head.next

print(detectLoop(head))
",7.78,3.89
Implement a Python program to check if a given number is an Armstrong Number,,"def checkArmstrong(num):
    temp = num 
    res = 0
    while temp > 0: 
        digit = temp % 10
        res = res + digit ** 3
        temp = temp // 10
    
    if num == res: 
        return f'{num} is an Armstrong Number'
    else:
        return f'{num} is not an Armstrong Number'
",9,4.5
Write a Python function that takes in two parameters of type list and returns the sum of all the elements in the two lists.,"list1 = [1, 2, 3, 4]
list2 = [5, 6, 7, 8]","def list_sum(list1, list2):
    total_sum = 0

    for num in list1:
        total_sum += num

    for num in list2:
        total_sum += num

    return total_sum
",10,5
Create a function in Python to take two numerical values and return true if one is divisible by the other.,"number1 = 10
number2 = 3","number1 = 10
number2 = 3

def isDivisible(a, b):
    return a % b == 0

print(isDivisible(number1, number2))  # False
",10,5
Write a function in Python that takes in a string and removes all the unnecessary whitespaces.,This     string  contains   too     much whitespace!,"def remove_whitespaces(string):
    return ' '.join(string.split())
 
print(remove_whitespaces(""This     string  contains   too     much whitespace!""))",8.33,4.16
Design an algorithm in Python to find the number of occurrences of a given string in another string.,"haystack = ""Hello World""
needle = ""l""","haystack = ""Hello World""
needle = ""l""

def count_occurrences(haystack, needle):
    count = 0
    for char in haystack:
        if char == needle:
            count += 1
    return count

print(count_occurrences(haystack, needle))
",7.78,3.89
Write a Python program that takes a user input of a number and prints out the corresponding character from the ASCII table.,76,"# Take user input for the number
number = int(input('Enter a number: '))

# chr() function to get the character
print('The character corresponding to ASCII value', number, 'is', chr(number))
",10,5
Create a function in Python to compare two strings and return true if the strings only differ by one character.,"s1 = 'apple'
s2 = 'acple'","def compare_strings(s1, s2):
    mismatch_count = 0

    for i in range(len(s1)):
        if s1[i] != s2[i]:
            if mismatch_count > 0:
                return False

            mismatch_count += 1

    return mismatch_count == 1

compare_strings('apple', 'acple')",8.89,4.44
Create a program in Python to calculate the prime factors of a given number.,15,"def find_factors(num): 
    """"""Function to find prime factors""""""
    factors = [] 
    i = 2
    while i * i <= num: 
        if num % i: 
            i += 1 
        else: 
            num //= i 
            factors.append(i) 
    if num > 1: 
        factors.append(num) 
    return factors 
  
num = 15
print(find_factors(num))
",9.23,4.61
"Write a Python program that takes a date in the format ""YYYY-MM-DD"" and returns a string with the day of the week for that date.",,"from datetime import datetime

def day_of_week(date):
    # convert string to date object
    date_obj = datetime.strptime(date, ""%Y-%m-%d"")
    # retrieve weekday
    day = date_obj.strftime(""%A"")
    return day",10,5
Write a python function to check whether the given string is made up of two alternating characters or not.,,"def is_Two_Alter(s):  
    for i in range (len( s) - 2) : 
        if (s[i] != s[i + 2]) : 
            return False
    if (s[0] == s[1]): 
        return False
    return True",7.14,3.57
Create a method in Python that takes a list of numbers and returns its average.,"[7, 8, 10, 4, 11]","def avg(list): 
	sum = 0
	for item in list:
		sum += item 
	return sum / len(list) 

list1 = [7, 8, 10, 4, 11]
result = avg(list1) 
  
print(""Average of all items: "", result)
",7.5,3.75
Write a Python function to find the most frequent element in a list.,,"def most_frequent(list): 
    counter = 0
    num = list[0] 

    for i in list: 
        curr_frequency = list.count(i) 
        if curr_frequency > counter: 
            counter = curr_frequency 
            num = i 

    return num
",8.89,4.44
Write a python function to find the average of even numbers till a given even number.,,"def average_Even(n) : 
    if (n% 2!= 0) : 
        return (""Invalid Input"") 
    sm = 0
    count = 0
    while (n>= 2) : 
        count = count+1
        sm = sm+n 
        n = n-2
    return sm // count 
",7.33,3.66
Design a function in Python to remove the vowels from a given string.,"text = ""Hello World""","def remove_vowels(text):
    vowels = [""a"", ""e"", ""i"", ""o"", ""u""]
    result = """"
    for char in text:
        if char.lower() not in vowels:
            result += char
    return result

text = ""example text""
print(remove_vowels(text))
",8.89,4.44
Write a python function to count the number of words in a sentence that are longer than the given length.,"sentence = ""This is a sample sentence""
length = 4","sentence = ""This is a sample sentence""
length = 4

def count_long_words(sentence, length):
    words = sentence.split()
    count = 0
    
    for word in words:
        if len(word) > length:
            count += 1
    return count

result = count_long_words(sentence, length)
print(result)
",8.18,4.09
Generate a program in Python for merging two sorted lists into one.,,"def merge_sorted_lists(list1, list2):
    merged_list = []
    i = 0
    j = 0
    while i < len(list1) and j < len(list2):
        if list1[i] < list2[j]:
            merged_list.append(list1[i])
            i += 1
        else:
            merged_list.append(list2[j])
            j += 1
    merged_list += list1[i:]
    merged_list += list2[j:]
 
    return merged_list",9.23,4.61
Write a Python program for finding the root of a given quadratic equation.,"a = 1, b = 5, c = 4","def quadratic(a, b, c):
    d = (b ** 2) - (4 * a * c)

    if d < 0:
        return None

    root1 = (-b - d ** 0.5) / (2 * a)
    root2 = (-b + d ** 0.5) / (2 * a)
    return root1, root2
",10,5
"Write a Python program that will ask the user to enter a word or phrase and then print out the individual characters, sorted alphabetically.",,"word = input('Enter a word or phrase: ')

characters = sorted(list(word))

for character in characters:
    print(character)
",10,5
Write a Python program to concatenate all the elements in a given list of strings.,"list_of_strings = [""a"", ""b"", ""c"", ""d"", ""e""]","list_of_strings = [""a"", ""b"", ""c"", ""d"", ""e""]

def concatenate_strings(list_of_strings):
    result = ''.join(list_of_strings)
    return result

result = concatenate_strings(list_of_strings)
print(result)
",7.67,3.83
Write a Python program that prints the nth prime number.,n=5,"def nth_prime_number(n):
    prime_numbers = [2]
    number = 3

    while len(prime_numbers) < n:
        is_prime = True
        for prime in prime_numbers:
            if number % prime == 0:
                is_prime = False
                break
        if is_prime:
            prime_numbers.append(number)
        number += 2
    return prime_numbers[-1]

print(nth_prime_number(5))",10,5
Can you construct a Python program that takes a string of words and counts the occurrences of each word?,This is an example of a string of words,"words = ""This is an example of a string of words"".split()

word_freq = {}
for word in words:
    if word not in word_freq:
        word_freq[word] = 1
    else:
        word_freq[word] += 1

for key, value in word_freq.items():
    print(f""{key} : {value}"")",10,5
Write a function to find the median of three specific numbers.,,"def median_numbers(a, b, c):
    if a > b:
        if a < c:
            median = a
        elif b > c:
            median = b
        else:
            median = c
    else:
        if a > c:
            median = a
        elif b < c:
            median = b
        else:
            median = c
    return median
",9.89,4.94
"Write a Python function that given a list of strings and an integer n, returns the strings that have a length greater than n.","['Cat', 'Dog', 'Rabbit', 'Elephant'], n = 5","strings = ['Cat', 'Dog', 'Rabbit', 'Elephant']
n = 5

def filter_strings(strings, n):
    return [s for s in strings if len(s) <= n]

filtered_list = filter_strings(strings, n)
print(filtered_list)
",6.67,3.33
"Can you provide a Python code snippet to generate a random integer between 1 and 10, inclusive?",,"import random

random_int = random.randint(1, 10)
print(random_int)",10,5
Create a program in Python which prints out all possible combinations of a given string.,,"def generate_combinations(s):
    result = []
    for i in range(len(s)):
        for j in range(i+1, len(s)+1):
            result.append(s[i:j])
    return result",10,5
Write a loop in Python to traverse a given list of numbers in reverse order,"[1, 2, 3, 4, 5]","numbers = [1, 2, 3, 4, 5]

for i in range(len(numbers) - 1, -1, -1):
    print(numbers[i])
",10,5
Write a python function to find even numbers from a mixed list.,,"def Split(list): 
    ev_li = [] 
    for i in list: 
        if (i % 2 == 0): 
            ev_li.append(i)  
    return ev_li
",6.67,3.33
Generate python code to clean up a string.,This string includes non-letter characters. This includes %$#& etc.,"def clean_string(string):
    excluded_characters = ""*&#$@!""
    cleaned_string = ''
    for character in string:
        if character not in excluded_characters:
            cleaned_string += character
    return cleaned_string",10,5
Write a Python program to delete all characters in a string that matches a given pattern.,"string = ""The qick brown fox jumps over the lazy dog.""
pattern = ""q[a-z]ck""","import re

def delete_pattern_characters(string, pattern):
    return re.sub(pattern, '', string)

string = ""The quick brown fox jumps over the lazy dog.""
pattern = r'q[a-z]ck'

result = delete_pattern_characters(string, pattern)
print(result)
",7.14,3.58
Write a function to find the area of a rectangle.,,"def rectangle_area(l, b):
    area = l * b
    return area
",10,5
Write a Python function that takes a list of words and removes all words that are not equal to the given word.,"word = 'Hello'
words = ['Hi', 'there', 'Hello', 'Goodbye']","def remove_words(word, words):
    return [w for w in words if w != word]

word = 'Hello'
words = ['Hi', 'there', 'Hello', 'Goodbye']

result = remove_words(word, words)
print(result)
",6.67,3.33
Write a Python program to take in a string and reverse the given string using a while loop.,,"def reverse_string(str):
    str_rev = ''
    i = len(str) - 1

    while i >= 0:
        str_rev += str[i]
        i -= 1

    return str_rev
",8.57,4.28
Write a Python function make_float that converts a given string argument to a float.,"""25.42""","def make_float(string):
    try:
        return float(string)
    except ValueError:
        return None

string = ""25.42""
result = make_float(string)
print(result)
",8.75,4.37
Write a Python program to classify a given list of numbers into three groups based on their range.,"[1, 2, 5, 9, 20]","def classify_list(input_list):
    result = {""low"": [], ""mid"": [], ""high"": []}
    for num in input_list:
        if num < 4:
            result[""low""].append(num)
        elif num < 10:
            result[""mid""].append(num)
        else:
            result[""high""].append(num)
    return result

input_list = [1, 2, 5, 9, 20]
result = classify_list(input_list)
print(result)
",8.33,4.16
Create a Python script to merge all the elements in a given list of lists.,"[[1, 2, 3], [4, 5], [6]]","def merge_lists(l):
    result = []
    for sublist in l:
        for item in sublist:
            result.append(item)
    return result

print(merge_lists([[1, 2, 3], [4, 5], [6]]))",10,5
Write a Python program to convert a given Roman number to its integer numerical equivalent.,,"def romanToInt(s):
    values = {
    'I': 1,
    'V': 5,
    'X': 10,
    'L': 50,
    'C': 100,
    'D': 500,
    'M': 1000
    }

    number = 0
    for i in range(len(s)):
        if i == 0 or values[s[i]] <= values[s[i-1]]:
            number += values[s[i]]
        else:
            number += values[s[i]] - 2*values[s[i-1]]

    return number",8.75,4.37
Write a Python program which prints the index of the given value in a list.,"my_list = [2, 4, 6, 8]
value = 4","def find_index(my_list, value):
    for i in range(len(my_list)):
        if my_list[i] == value:
            return i
    return -1

my_list = [2, 4, 6, 8]
value = 4
index = find_index(my_list, value)
print(index)
",6.67,3.33
Write a function to find the equilibrium index of the given array.,,"def equilibrium_index(arr):
    total_sum = sum(arr)
    left_sum = 0
    for i, num in enumerate(arr):
        total_sum -= num
        if left_sum == total_sum:
            return i
        left_sum += num
    return -1
",10,5
Generate a Python program to compare two given strings to check if they are identical or not.,,"def is_identical(str1, str2): 
    if str1 == str2: 
        return True
    else: 
        return False
",7.33,3.66
Write a function to find the perimeter of a pentagon.,,"import math

def perimeter_pentagon(a):
    perimeter = 5 * a
    return perimeter

print(perimeter_pentagon(5))
",8.52,4.26
"Write a function to find out, if the given number is abundant.",,"def is_abundant(n):
    fctrsum = sum([fctr for fctr in range(1, n) if n % fctr == 0])
    return fctrsum > n
",6.67,3.33
Write a Python program to identify strings with all unique characters,,"def is_unique_string(s):
    d = {} 
    for i in s:
        if i in d:
            return False
        d[i] =1
    return True
print(is_unique_string(""abcde""))
",10,5
Develop a python function which replaces all whitespaces in a given string with a different character.,,"def replace_whitespaces(string, character):
    return string.replace("" "", character)
print(replace_whitespaces(""Mr John Smith"", ""%20""))
",10,5
Design a function in Python that takes in a string and returns a list of words from the string in reverse order.,The quick brown fox.,"def reverseString(userString):
    wordList = userString.split("" "")
    reversedStringList = list(reversed(wordList))

    return reversedStringList

print(reverseString(""The quick brown fox.""))
",10,5
Write a Python program to identify common characters between two given strings.,,"def common_characters(str1, str2):
    common_chars = set(str1).intersection(set(str2))
    return list(common_chars)",10,5
Can you write a Python code that can sort dictionaries based on the values,,"def sort_dict_by_values(my_dict):
    return sorted(my_dict.items(), key=lambda kv: kv[1])
",9.09,4.54
Write a Python program which converts feet to centimeters.,,"def convert_ft_to_cm(ft):
    return ft * 30.48",9.39,4.69
Write a python function to find nth bell number.,,"def bell_Number(n): 
    bell = [[0 for i in range(n+1)] for j in range(n+1)] 
    bell[0][0] = 1
    for i in range(1, n+1):
        bell[i][0] = bell[i-1][i-1]
        for j in range(1, i+1): 
            bell[i][j] = bell[i-1][j-1] + bell[i][j-1] 
    return bell[n][0] 
",8.89,4.44
Write an algorithm to find the intersection of two sorted arrays in Python.,"a = [1, 5, 8, 9, 10], b = [2, 3, 5, 8, 9, 10]","def intersection(a, b): 
    intersection_list = []
    for item1 in a:
        if item1 in b:
            intersection_list.append(item1)
    return intersection_list

a = [1, 5, 8, 9, 10]
b = [2, 3, 5, 8, 9, 10]
print(intersection(a, b))
",7.78,3.89
Write a Python code that finds the sum of the two largest numbers in a given list.,"[1,2,3,4,5]","def find_largest_sum(list):
    largestNum = max(list)
    list.remove(largestNum)
    secondLargestNum = max(list)
    return largestNum+secondLargestNum

print(find_largest_sum([1,2,3,4,5]))
",8.33,4.16
Write a python function to find the frequency of a number in a given array.,,"def frequency(a,x): 
    count = 0  
    for i in a: 
        if i == x:
            count += 1
    return count 
",9.89,4.94
Find the 5 most frequent words in the given text.,Text: Python is a high-level programming language.,"from collections import Counter

text = "" Python is a high-level programming language.""
words = text.split()

frequencies = Counter(words)

frequent_words = frequencies.most_common(5)

print(frequent_words)
",10,5
Write a Python program to find all possible subsets of a given set.,"s = {1,2,3}","import itertools

def find_subsets(s):
    subsets = []

    for i in range(len(s)+1):
        for subset in itertools.combinations(s, i):
            subsets.append(subset)

    return subsets

s = {1, 2, 3}
result = find_subsets(s)
print(result)
",9,4.5
Create an algorithm in Python to rotate an array of numbers by k elements.,"Array: [1,2,3,4,5], k=2","def rotate_array(arr, k):
    n = len(arr)
    
    for i in range(k):
        temp = arr[n-1]
        for i in range(n-1, 0, -1):
            arr[i] = arr[i-1]
        arr[0] = temp
        
    return arr

print(rotate_array([1,2,3,4,5], 2))
",9.09,4.54
Design an algorithm in Python to replace an element in a given list of numbers at a given position with another number.,"list: [1, 2, 3, 4, 5],  element: 8,  position: 3","def replace_elem(lst, val, pos):
    if pos < len(lst):
        lst[pos] = val
    return lst

lst = [1, 2, 3, 4, 5]
element = 8
position = 3

result = replace_elem(lst, element, position)

print('After replacing element:', result)
",8.89,4.44
"Create a Python program that receives a list of numbers, and generates two new lists: one containing the even elements from the original list, and one containing the odd elements.","[1, 2, 3, 4, 5, 6]","def find_even_odd(nums):
    even_list = []
    odd_list = []
    for num in nums:
        if num % 2 == 0:
            even_list.append(num)
        else:
            odd_list.append(num)
  
    return even_list, odd_list
  
print(find_even_odd([1, 2, 3, 4, 5, 6]))
",8.33,4.16
Create a Python method to get the index of the largest element in an array.,"[1,2,3,4,5]","def find_largest_index(arr):
    largest = float('-inf')
    largest_index = 0
    for i in range(len(arr)):
        num = arr[i]
        if num > largest:
            largest = num
            largest_index = i
    return largest_index 

print(find_largest_index([1,2,3,4,5]))
",8,4
"Write a Python program that prints out the day number of the week (1-7) from the input date given in the format ""yyyy-mm-dd"".",,"import datetime

def get_day_of_week(date):
    year, month, day = map(int, date.split('-'))
    day_of_week = datetime.date(year, month, day).weekday()
    return day_of_week + 1

print(get_day_of_week(""2020-05-15""))
",10,5
"Write a function in Python that takes an input list, multiplies each item in the list by two, and returns the resulting list.",,"def double_list(lst):
    return [x * 2 for x in lst]",10,5
Create a python program which reads a string from the user and prints out its length.,,"user_str = input(""Please enter a string: "")
print(""The length of the string is"", len(user_str))",10,5
Write a function in Python that takes two integers as arguments and returns the number of common divisors between the two.,"350, 400","def countCommonDivisors(a,b): 
   
    divisors = [] 
   
    for i in range(1, min(a,b)+1): 
        if (a % i == 0 and b % i == 0): 
            divisors.append(i) 
              
    return len(divisors) 

num1 = 350
num2 = 400

print (countCommonDivisors(num1, num2)) 
",9.17,4.58
Create a program to print the multiplication table for a given number in Python.,,"def multiplication_table(n):
    for i in range(1, 11):
        print(n, 'x', i, '=', n*i)

if __name__==""__main__"":
    multiplication_table(5)
",9.5,4.75
Write a Python function to sort this dictionary by its keys in descending order.,"{
    1: 'one',
    2: 'two',
    3: 'three',
    4: 'four',
    5: 'five'
}","def sort_dictionary_keys(d):
    return {k: d[k] for k in sorted(d.keys(), reverse=True)}

d = {
    1: 'one',
    2: 'two',
    3: 'three',
    4: 'four',
    5: 'five'
}

sorted_dict = sort_dictionary_keys(d)
print(sorted_dict)
",8,4
Write a function in Python that merges two string and removes the duplicates.,"string_1 = 'one'
string_2 = 'two'","def merge_strings(string_1, string_2):
    s = set(string_1 + string_2)
    merged_string = ''.join(s)
    return merged_string

string_1 = 'one'
string_2 = 'two'
merged_string = merge_strings(string_1, string_2)
print(merged_string)
",6.25,3.12
Write a function to create a new tuple from the given string and list.,,"def new_tuple(test_list, test_str):
    res = tuple(test_list + [test_str])
    return res
",9.5,4.75
